"Part","Value","Device","Package","DescriptionMF","MPN","OC_FARNELL","OC_NEWARK","PROD_ID","VALUE",
"C1","270uF 16V","CPOL-USE3.5-8","E3,5-8","POLARIZED CAPACITOR, American symbol","","","","","",
"C2","270uF 16V","CPOL-USE3.5-8","E3,5-8","POLARIZED CAPACITOR, American symbol","","","","","",
"C3","270uF 16V","CPOL-USE3.5-8","E3,5-8","POLARIZED CAPACITOR, American symbol","","","","","",
"C4","270uF 16V","CPOL-USE3.5-8","E3,5-8","POLARIZED CAPACITOR, American symbol","","","","","",
"D1","WS2812B","WS2812B","WS2812B","WS2812B SMD addressable RGB LED","","","","","DIO-12503",
"D2","WS2812B","WS2812B","WS2812B","WS2812B SMD addressable RGB LED","","","","","DIO-12503",
"D3","WS2812B","WS2812B","WS2812B","WS2812B SMD addressable RGB LED","","","","","DIO-12503",
"D4","1N5822","DIODESMA","SMADIODE","Diode","","","","","",
"D5","1N5822","DIODESMA","SMADIODE","Diode","","","","","",
"F1","IRLZ44","IRLZ44","IRLZ44-TO220","","","","","","",
"F2","IRLZ44","IRLZ44","IRLZ44-TO220","","","","","","",
"M-X6","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"M-X7","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"M-X8","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"M-X10","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"M-X11","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"M-X12","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"M-X13","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-PIX-X18","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-PIX-X19","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-X2","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-X3","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-X4","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-X5","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-X14","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
"N-X15","HEADER_POS3_70555","HEADER_POS3_70555","70555-POS3","Molex -C-Grid® / SL Series connector","","","","","",
